claim_id,claim_date,claim_amount,claimant_age,claimant_gender,vehicle_age,vehicle_make,vehicle_type,accident_type,injury_severity,police_report_filed,witness_present,location,day_of_week,time_of_day,weather_conditions,previous_claims,previous_accidents,litigation
CL-10045,2022-04-04,2071.83,78,F,11,Mercedes,Sports,Pedestrian Involved,Major,0,1,Suburban,Monday,Night,Snow,2,0,0
CL-10046,2023-04-12,2827.74,71,F,12,Ford,SUV,Multiple Vehicle,Minor,1,0,Urban,Wednesday,Night,Clear,0,0,0
CL-10047,2023-08-16,17475.35,80,M,10,Hyundai,SUV,Single Vehicle,Minor,1,1,Urban,Wednesday,Morning,Clear,0,0,0
CL-10048,2022-06-13,7423.03,24,M,11,Ford,SUV,Single Vehicle,None,1,0,Suburban,Monday,Evening,Fog,0,0,0
CL-10049,2023-04-22,592.5,66,M,0,Toyota,SUV,Single Vehicle,Moderate,0,0,Urban,Saturday,Afternoon,Fog,1,1,0
CL-10050,2022-07-26,7251.04,48,F,16,BMW,Luxury,Single Vehicle,Minor,1,0,Urban,Tuesday,Night,Clear,0,0,0
CL-10051,2024-02-18,3096.11,75,M,15,Chevrolet,SUV,Single Vehicle,None,0,0,Urban,Sunday,Morning,Clear,2,0,0
CL-10052,2023-07-24,2181.34,78,M,10,Nissan,Compact,Multiple Vehicle,None,1,0,Urban,Monday,Evening,Clear,0,0,1
CL-10053,2024-07-17,10239.54,41,F,12,Nissan,Luxury,Single Vehicle,None,0,0,Suburban,Wednesday,Afternoon,Clear,0,0,0
CL-10054,2024-01-18,16936.04,37,F,17,BMW,SUV,Single Vehicle,Moderate,1,1,Rural,Thursday,Evening,Clear,0,0,0
CL-10055,2022-11-30,15025.98,54,F,10,Hyundai,Sedan,Multiple Vehicle,Moderate,1,1,Suburban,Wednesday,Morning,Clear,2,0,0
CL-10056,2024-01-29,1795.32,21,F,11,Chevrolet,Truck,Single Vehicle,Minor,0,1,Suburban,Monday,Morning,Clear,0,0,0
CL-10057,2023-12-29,3391.22,37,F,5,Audi,Truck,Single Vehicle,Moderate,1,1,Urban,Friday,Morning,Rain,3,1,0
CL-10058,2023-03-06,7313.78,77,M,8,Mercedes,Truck,Multiple Vehicle,None,1,0,Suburban,Monday,Night,Clear,0,0,0
CL-10059,2023-07-01,15845.71,41,M,15,Chevrolet,Luxury,Single Vehicle,Minor,1,1,Rural,Saturday,Morning,Clear,0,0,0
CL-10060,2022-05-27,2765.54,67,F,3,Hyundai,SUV,Multiple Vehicle,Minor,0,0,Urban,Friday,Afternoon,Clear,0,0,0
CL-10061,2022-12-17,3933.2,66,F,2,Honda,Sports,Single Vehicle,None,0,0,Urban,Saturday,Night,Rain,1,1,0
CL-10062,2024-12-29,1302.97,68,F,15,Toyota,Sports,Multiple Vehicle,Moderate,1,0,Suburban,Sunday,Evening,Clear,0,0,0
CL-10063,2023-05-17,1169.76,53,F,11,Chevrolet,Sports,Bicycle Involved,None,1,0,Suburban,Wednesday,Afternoon,Clear,1,1,1
CL-10064,2022-12-01,13030.28,83,F,10,Chevrolet,Luxury,Multiple Vehicle,None,0,0,Urban,Thursday,Night,Rain,1,2,0
CL-10065,2024-08-04,25021.43,51,M,4,Toyota,Compact,Multiple Vehicle,Minor,1,1,Urban,Sunday,Morning,Snow,1,0,0
CL-10066,2024-02-17,4507.91,53,M,17,Mercedes,Sedan,Pedestrian Involved,Minor,0,1,Suburban,Saturday,Evening,Rain,1,0,0
CL-10067,2023-07-07,16386.93,23,M,18,Chevrolet,Sedan,Multiple Vehicle,Minor,1,0,Urban,Friday,Morning,Fog,0,0,0
CL-10068,2023-03-26,7585.27,56,M,5,Toyota,Truck,Single Vehicle,None,0,0,Suburban,Sunday,Afternoon,Rain,1,0,0
CL-10069,2023-10-27,2266.19,59,F,17,Toyota,Truck,Multiple Vehicle,Moderate,0,0,Urban,Friday,Afternoon,Rain,0,0,0
CL-10070,2022-04-25,7583.08,75,M,5,Toyota,Sports,Pedestrian Involved,Minor,0,0,Rural,Monday,Night,Clear,2,1,1
CL-10071,2023-04-15,31121.18,29,F,3,Subaru,Sports,Multiple Vehicle,Minor,1,0,Urban,Saturday,Afternoon,Clear,0,1,1
CL-10072,2022-03-07,4707.95,20,F,11,Hyundai,Truck,Single Vehicle,Major,1,0,Urban,Monday,Evening,Clear,0,1,0
CL-10073,2023-10-09,32130.87,35,F,18,Subaru,SUV,Multiple Vehicle,Moderate,1,1,Urban,Monday,Night,Clear,0,0,0
CL-10074,2024-04-01,211.94,57,M,1,Honda,Compact,Pedestrian Involved,None,1,0,Urban,Monday,Evening,Clear,2,2,0
CL-10075,2023-07-03,13177.72,38,F,16,Audi,Compact,Single Vehicle,Moderate,1,0,Suburban,Monday,Morning,Clear,2,1,0
CL-10076,2022-05-16,5455.92,32,M,10,Subaru,Compact,Multiple Vehicle,None,1,1,Urban,Monday,Evening,Rain,0,0,0
CL-10077,2023-03-09,3433.0,43,M,10,Subaru,Compact,Single Vehicle,None,0,1,Urban,Thursday,Evening,Clear,0,0,0
CL-10078,2023-10-07,5486.87,25,F,15,Hyundai,Truck,Multiple Vehicle,Minor,1,0,Urban,Saturday,Afternoon,Clear,1,1,0
CL-10079,2023-03-12,452.56,59,F,1,Audi,Sedan,Single Vehicle,Major,1,1,Suburban,Sunday,Morning,Hail,0,2,0
CL-10080,2024-10-19,3775.9,61,F,1,BMW,Truck,Multiple Vehicle,None,1,1,Suburban,Saturday,Afternoon,Clear,0,0,0
CL-10081,2024-03-21,7544.21,31,M,7,Toyota,Compact,Pedestrian Involved,Minor,1,0,Urban,Thursday,Morning,Clear,0,0,0
CL-10082,2024-07-28,28954.27,19,F,12,Nissan,Truck,Multiple Vehicle,None,1,1,Suburban,Sunday,Morning,Clear,1,1,1
CL-10083,2022-10-20,2638.79,54,M,9,Audi,Compact,Multiple Vehicle,Moderate,1,0,Suburban,Thursday,Evening,Snow,0,0,1
CL-10084,2023-06-27,1862.75,55,F,7,Honda,Luxury,Multiple Vehicle,Minor,0,1,Suburban,Tuesday,Afternoon,Clear,0,0,0
CL-10085,2022-10-13,2691.6,58,F,3,Mercedes,Sports,Single Vehicle,Minor,1,0,Urban,Thursday,Evening,Rain,1,0,0
CL-10086,2023-05-21,14742.39,79,M,14,Honda,Sedan,Multiple Vehicle,None,1,0,Suburban,Sunday,Evening,Clear,1,0,1
CL-10087,2023-06-23,7291.77,77,M,0,Toyota,Luxury,Single Vehicle,Moderate,1,0,Urban,Friday,Evening,Clear,0,3,0
CL-10088,2024-05-27,2602.66,31,M,10,Audi,SUV,Multiple Vehicle,Major,0,1,Urban,Monday,Morning,Clear,2,3,1
CL-10089,2024-03-28,9099.01,19,M,6,Honda,Truck,Single Vehicle,Minor,1,0,Urban,Thursday,Afternoon,Rain,0,1,0
CL-10090,2024-01-12,5521.99,34,M,16,Honda,SUV,Multiple Vehicle,Minor,0,0,Urban,Friday,Afternoon,Snow,1,1,0
CL-10091,2023-03-26,15715.05,45,M,19,BMW,Truck,Bicycle Involved,Major,1,0,Urban,Sunday,Evening,Rain,2,0,0
CL-10092,2022-10-11,2116.54,83,F,17,BMW,Sports,Animal Involved,None,0,0,Rural,Tuesday,Morning,Rain,0,1,0
CL-10093,2024-11-09,3316.96,52,F,11,Audi,Luxury,Multiple Vehicle,Moderate,1,0,Urban,Saturday,Afternoon,Clear,1,0,0
CL-10094,2024-10-07,3070.11,22,M,8,Toyota,Sports,Single Vehicle,Moderate,1,0,Urban,Monday,Night,Rain,3,2,0
CL-10095,2022-07-06,848.76,82,F,4,Subaru,Compact,Multiple Vehicle,None,1,1,Urban,Wednesday,Afternoon,Clear,3,1,0
CL-10096,2022-04-07,7011.76,57,M,9,Ford,Sports,Pedestrian Involved,Minor,1,1,Urban,Thursday,Evening,Rain,2,0,0
CL-10097,2022-08-13,6722.84,73,F,3,Chevrolet,Sports,Single Vehicle,None,1,0,Urban,Saturday,Night,Clear,1,0,0
CL-10098,2022-11-10,4945.02,53,F,4,Nissan,Compact,Animal Involved,Minor,0,1,Urban,Thursday,Morning,Clear,0,0,0
CL-10099,2022-11-24,3708.92,62,M,9,Chevrolet,Truck,Multiple Vehicle,Minor,1,0,Urban,Thursday,Night,Clear,1,0,0
CL-10100,2024-05-14,899.24,40,M,10,Hyundai,Compact,Animal Involved,None,0,0,Urban,Tuesday,Night,Clear,2,0,0
CL-10101,2022-05-11,2966.76,64,M,9,BMW,Luxury,Pedestrian Involved,Minor,0,0,Urban,Wednesday,Evening,Clear,0,2,1
CL-10102,2024-02-28,3257.59,48,F,7,Audi,Sports,Pedestrian Involved,None,1,1,Urban,Wednesday,Afternoon,Rain,1,1,0
CL-10103,2024-02-21,1876.69,28,M,1,Chevrolet,Compact,Multiple Vehicle,None,0,1,Suburban,Wednesday,Morning,Clear,2,2,0
CL-10104,2024-08-16,4049.94,27,F,7,Toyota,Sports,Single Vehicle,None,1,0,Suburban,Friday,Night,Clear,0,0,0
CL-10105,2024-12-19,7981.34,84,M,15,Nissan,Luxury,Multiple Vehicle,Moderate,1,0,Suburban,Thursday,Evening,Rain,2,1,0
CL-10106,2023-05-30,47260.17,31,F,4,Chevrolet,SUV,Multiple Vehicle,None,0,0,Urban,Tuesday,Afternoon,Clear,3,1,1
CL-10107,2022-01-24,6060.17,27,F,2,Nissan,Luxury,Single Vehicle,Moderate,1,1,Urban,Monday,Night,Rain,2,0,0
CL-10108,2022-08-23,6694.63,18,M,11,Mercedes,Sedan,Multiple Vehicle,Minor,1,1,Rural,Tuesday,Evening,Clear,2,0,0
CL-10109,2023-07-01,4494.75,22,F,12,Toyota,Sedan,Multiple Vehicle,None,1,1,Urban,Saturday,Evening,Sleet,1,1,0
CL-10110,2023-11-28,491.51,37,F,12,Ford,Sedan,Multiple Vehicle,Moderate,1,0,Urban,Tuesday,Evening,Clear,0,0,0
CL-10111,2022-08-17,4760.86,25,M,9,Honda,Sports,Multiple Vehicle,Minor,0,1,Urban,Wednesday,Morning,Clear,1,0,0
CL-10112,2023-08-25,5283.14,60,F,3,Nissan,Truck,Single Vehicle,Minor,1,1,Urban,Friday,Afternoon,Clear,0,1,0
CL-10113,2024-06-09,94456.11,18,M,8,Toyota,Truck,Animal Involved,None,1,1,Urban,Sunday,Night,Clear,0,0,0
CL-10114,2022-11-20,3901.7,74,M,1,Nissan,Truck,Single Vehicle,None,1,1,Suburban,Sunday,Afternoon,Fog,0,2,0
CL-10115,2024-07-18,7057.58,81,M,18,Nissan,Sports,Multiple Vehicle,None,1,0,Urban,Thursday,Afternoon,Clear,0,0,0
CL-10116,2022-01-07,4714.25,45,M,0,Subaru,Luxury,Multiple Vehicle,None,1,0,Rural,Friday,Night,Clear,0,1,0
CL-10117,2023-06-24,1209.05,54,F,6,Subaru,Truck,Pedestrian Involved,None,1,1,Urban,Saturday,Afternoon,Clear,3,1,0
CL-10118,2024-10-22,19368.19,64,F,16,Toyota,SUV,Single Vehicle,None,1,1,Urban,Tuesday,Morning,Snow,2,0,1
CL-10119,2023-01-01,12116.45,54,F,2,Subaru,Sedan,Multiple Vehicle,None,1,1,Rural,Sunday,Night,Clear,0,1,0
CL-10120,2024-11-05,12698.49,66,M,19,Hyundai,Luxury,Multiple Vehicle,None,0,1,Suburban,Tuesday,Night,Hail,0,0,0
CL-10121,2022-08-06,1650.34,61,F,19,Ford,Sedan,Single Vehicle,None,1,1,Urban,Saturday,Evening,Clear,2,0,0
CL-10122,2023-09-04,26459.04,73,F,2,Audi,Truck,Multiple Vehicle,None,0,0,Urban,Monday,Afternoon,Clear,1,1,1
CL-10123,2024-11-05,913.95,45,M,2,Toyota,Luxury,Bicycle Involved,Major,0,1,Suburban,Tuesday,Night,Clear,1,1,0
CL-10124,2023-02-12,9939.07,23,M,16,Toyota,Compact,Animal Involved,None,0,1,Urban,Sunday,Night,Snow,3,0,0
CL-10125,2022-11-10,68087.35,78,F,6,Hyundai,SUV,Single Vehicle,Minor,0,1,Urban,Thursday,Morning,Snow,0,2,1
CL-10126,2024-02-05,1497.21,37,M,13,BMW,Truck,Single Vehicle,None,1,0,Suburban,Monday,Evening,Clear,2,0,0
CL-10127,2022-11-27,2491.01,19,M,16,BMW,Truck,Multiple Vehicle,Major,1,0,Urban,Sunday,Night,Clear,1,1,0
CL-10128,2024-12-22,5539.07,54,M,17,Subaru,SUV,Multiple Vehicle,None,1,0,Urban,Sunday,Morning,Rain,3,0,0
CL-10129,2022-01-02,2686.06,37,M,12,Audi,SUV,Single Vehicle,Major,1,0,Urban,Sunday,Night,Clear,1,3,0
CL-10130,2023-10-26,764.49,43,F,19,Subaru,Compact,Single Vehicle,Minor,0,0,Urban,Thursday,Night,Clear,2,0,0
CL-10131,2024-09-27,5336.23,46,M,19,Mercedes,Truck,Animal Involved,None,1,1,Suburban,Friday,Night,Clear,0,0,0
CL-10132,2022-02-09,1373.66,18,M,17,Mercedes,Sports,Bicycle Involved,Moderate,0,0,Urban,Wednesday,Morning,Clear,1,1,0
CL-10133,2022-08-18,8675.96,52,M,3,Honda,Truck,Single Vehicle,Minor,1,1,Suburban,Thursday,Afternoon,Clear,0,0,0
CL-10134,2024-01-14,1630.58,76,M,0,Mercedes,Sedan,Multiple Vehicle,None,0,0,Urban,Sunday,Night,Clear,0,0,0
CL-10135,2023-09-22,31568.7,50,M,17,BMW,Luxury,Multiple Vehicle,Moderate,1,0,Urban,Friday,Night,Clear,2,1,1
CL-10136,2023-05-06,1920.03,68,M,0,Ford,Luxury,Single Vehicle,Major,1,0,Urban,Saturday,Afternoon,Snow,1,0,1
CL-10137,2022-04-29,3339.33,29,M,12,Mercedes,Sedan,Multiple Vehicle,Minor,1,0,Suburban,Friday,Night,Clear,0,1,0
CL-10138,2023-05-09,13045.79,37,M,19,Subaru,Luxury,Multiple Vehicle,None,0,0,Rural,Tuesday,Evening,Rain,0,2,0
CL-10139,2022-06-11,1122.11,70,F,19,Nissan,SUV,Pedestrian Involved,Moderate,1,0,Urban,Saturday,Night,Clear,1,0,0
CL-10140,2022-06-25,6457.21,60,M,9,Toyota,Luxury,Multiple Vehicle,Minor,0,0,Urban,Saturday,Evening,Rain,1,0,1
CL-10141,2024-09-22,23589.84,67,F,10,Ford,Luxury,Multiple Vehicle,Moderate,0,0,Urban,Sunday,Afternoon,Clear,4,1,1
CL-10142,2022-05-22,714.1,46,M,8,Ford,Sedan,Multiple Vehicle,Minor,0,0,Suburban,Sunday,Morning,Rain,1,3,1
CL-10143,2024-12-26,6133.74,74,M,8,Subaru,Compact,Single Vehicle,None,1,0,Urban,Thursday,Afternoon,Clear,0,2,0
CL-10144,2022-09-15,6713.39,56,M,4,Toyota,Luxury,Multiple Vehicle,Major,0,0,Suburban,Thursday,Night,Snow,1,0,0
CL-10145,2022-09-20,12558.93,73,M,0,BMW,Sports,Multiple Vehicle,None,0,1,Urban,Tuesday,Evening,Clear,0,0,0
CL-10146,2024-08-31,1113.94,60,F,16,Ford,Luxury,Single Vehicle,None,1,1,Urban,Saturday,Morning,Clear,1,0,0
CL-10147,2022-12-05,1007.73,67,M,1,Honda,Compact,Single Vehicle,Minor,1,0,Urban,Monday,Night,Sleet,1,1,0
CL-10148,2023-06-27,9194.22,40,M,12,Subaru,Sedan,Single Vehicle,Minor,1,0,Urban,Tuesday,Morning,Clear,3,2,0
CL-10149,2024-12-16,7019.04,61,F,8,Ford,Compact,Bicycle Involved,None,1,0,Suburban,Monday,Morning,Clear,3,1,0
CL-10150,2024-05-16,6638.17,55,F,3,Audi,Sedan,Single Vehicle,Moderate,1,0,Suburban,Thursday,Night,Fog,0,1,0
CL-10151,2023-03-10,7448.28,40,M,4,Toyota,SUV,Single Vehicle,None,0,0,Urban,Friday,Afternoon,Clear,1,0,0
CL-10152,2023-02-16,2173.23,62,F,10,Mercedes,Sedan,Multiple Vehicle,Minor,1,1,Urban,Thursday,Night,Clear,0,0,0
CL-10153,2023-10-01,6494.46,69,F,18,Ford,SUV,Multiple Vehicle,Moderate,1,1,Urban,Sunday,Night,Hail,2,2,1
CL-10154,2024-03-28,6986.16,67,F,2,Subaru,SUV,Single Vehicle,None,0,1,Suburban,Thursday,Afternoon,Clear,1,0,0
CL-10155,2024-02-04,2085.53,25,M,11,Mercedes,Sedan,Animal Involved,None,1,1,Urban,Sunday,Evening,Snow,3,1,0
CL-10156,2024-06-16,46116.65,18,M,18,Honda,Sports,Pedestrian Involved,None,0,0,Urban,Sunday,Night,Clear,2,0,0
CL-10157,2024-11-25,8678.46,25,M,18,Mercedes,Truck,Multiple Vehicle,Major,1,0,Urban,Monday,Morning,Rain,1,1,1
CL-10158,2024-07-13,1176.66,46,F,12,Audi,Sedan,Multiple Vehicle,None,1,0,Urban,Saturday,Night,Clear,0,0,0
CL-10159,2022-09-05,10806.08,22,M,6,BMW,Luxury,Single Vehicle,None,1,0,Urban,Monday,Night,Hail,0,0,0
CL-10160,2023-05-23,1525.96,64,F,14,Ford,Sports,Multiple Vehicle,Minor,1,1,Urban,Tuesday,Morning,Clear,0,0,0
CL-10161,2023-04-06,12638.48,51,M,6,Chevrolet,Sports,Multiple Vehicle,Minor,1,1,Urban,Thursday,Afternoon,Clear,1,0,1
CL-10162,2022-05-12,19738.27,82,M,7,Chevrolet,Luxury,Single Vehicle,None,0,0,Suburban,Thursday,Evening,Rain,0,0,0
CL-10163,2023-11-24,1835.7,72,F,4,Mercedes,Truck,Single Vehicle,Minor,1,1,Urban,Friday,Evening,Clear,0,0,0
CL-10164,2022-02-13,15616.0,60,M,13,Hyundai,Sports,Multiple Vehicle,None,0,1,Urban,Sunday,Morning,Rain,1,0,1
CL-10165,2023-04-17,8065.39,47,F,3,Toyota,SUV,Single Vehicle,Major,1,0,Suburban,Monday,Afternoon,Snow,1,2,1
CL-10166,2023-03-28,13180.22,34,F,9,Chevrolet,Truck,Bicycle Involved,None,1,1,Urban,Tuesday,Night,Clear,3,1,1
CL-10167,2022-01-15,47865.56,43,M,19,Hyundai,Luxury,Single Vehicle,None,1,0,Suburban,Saturday,Night,Rain,1,0,0
CL-10168,2022-05-26,3661.16,25,F,14,Chevrolet,Truck,Multiple Vehicle,Minor,1,1,Urban,Thursday,Night,Clear,0,0,0
CL-10169,2022-05-01,1989.26,64,M,17,Hyundai,Sedan,Multiple Vehicle,None,0,1,Urban,Sunday,Night,Clear,0,0,0
CL-10170,2023-04-14,1690.17,63,M,19,Toyota,Truck,Multiple Vehicle,Minor,0,1,Urban,Friday,Night,Clear,0,1,0
CL-10171,2022-05-19,1846.46,50,F,12,Nissan,SUV,Multiple Vehicle,None,0,1,Urban,Thursday,Morning,Rain,1,0,0
CL-10172,2022-03-06,4480.45,18,M,7,Chevrolet,Sedan,Multiple Vehicle,None,1,0,Suburban,Sunday,Night,Clear,1,1,0
CL-10173,2023-11-08,7401.09,36,F,8,Audi,Compact,Pedestrian Involved,Moderate,1,0,Urban,Wednesday,Night,Rain,2,0,0
CL-10174,2022-05-26,6850.17,48,M,15,Ford,Luxury,Multiple Vehicle,Minor,1,0,Urban,Thursday,Afternoon,Clear,1,0,0
CL-10175,2024-11-18,13261.49,31,M,18,Hyundai,Luxury,Multiple Vehicle,Minor,0,0,Urban,Monday,Night,Rain,0,0,0
CL-10176,2023-05-03,4992.05,70,M,15,Ford,Truck,Multiple Vehicle,None,1,1,Urban,Wednesday,Evening,Clear,0,0,0
CL-10177,2023-07-25,28120.13,65,M,6,Subaru,Sports,Multiple Vehicle,None,1,0,Urban,Tuesday,Morning,Snow,3,0,0
CL-10178,2024-09-21,3577.47,79,M,13,Subaru,Sedan,Multiple Vehicle,None,1,1,Urban,Saturday,Morning,Clear,0,0,0
CL-10179,2023-03-15,128566.69,83,F,13,Toyota,Compact,Bicycle Involved,None,1,1,Urban,Wednesday,Morning,Clear,0,0,0
CL-10180,2022-09-28,10412.9,81,F,3,Hyundai,Sedan,Single Vehicle,Minor,1,0,Suburban,Wednesday,Evening,Clear,3,1,0
CL-10181,2024-08-26,1757.08,80,F,14,Honda,Luxury,Multiple Vehicle,Moderate,1,0,Urban,Monday,Night,Rain,0,4,0
CL-10182,2023-05-13,1359.58,50,F,2,Subaru,Sedan,Multiple Vehicle,None,0,0,Suburban,Saturday,Morning,Clear,0,0,0
CL-10183,2024-08-26,8768.9,58,F,4,Toyota,Compact,Multiple Vehicle,None,0,1,Suburban,Monday,Evening,Rain,0,1,0
CL-10184,2024-04-13,3758.76,65,F,0,Subaru,Sports,Pedestrian Involved,None,1,1,Urban,Saturday,Afternoon,Clear,1,1,0
CL-10185,2023-01-25,11577.29,30,M,2,Subaru,Truck,Animal Involved,None,1,0,Suburban,Wednesday,Night,Rain,2,1,0
CL-10186,2022-07-13,8672.26,48,M,14,Honda,SUV,Multiple Vehicle,None,1,1,Suburban,Wednesday,Evening,Clear,0,0,0
CL-10187,2022-07-18,4503.48,21,F,7,Chevrolet,Sedan,Single Vehicle,Major,0,1,Urban,Monday,Night,Clear,0,0,1
